20-Mar-2014                   The 2 digit county code indicates
                              what county the entity is located in.
                              The county code is always the first 2
                              digits of the BEDS code.
01   Albany
02   Allegany
03   Broome
04   Cattaraugus
05   Cayuga
06   Chautauqua
07   Chemung
08   Chenango
09   Clinton
10   Columbia
11   Cortland
12   Delaware
13   Dutchess
14   Erie
15   Essex
16   Franklin
17   Fulton
18   Genesee
19   Greene
20   Hamilton
21   Herkimer
22   Jefferson
23   Lewis
24   Livingston
25   Madison
26   Monroe
27   Montgomery
28   Nassau
30   NYC Central Office
31   Manhattan
32   Bronx
33   Brooklyn
34   Queens
35   Richmond
40   Niagara
41   Oneida
42   Onondaga
43   Ontario
44   Orange
45   Orleans
46   Oswego
47   Otsego
48   Putnam
49   Rensselaer
50   Rockland
51   St. Lawrence
52   Saratoga
53   Schenectady
54   Schoharie
55   Schuyler
56   Seneca
57   Steuben
58   Suffolk
59   Sullivan
60   Tioga
61   Tompkins
62   Ulster
63   Warren
64   Washington
65   Wayne
66   Westchester
67   Wyoming
68   Yates
